epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5766,0.92021,2.92811,1.34785,0.44345,0.46923,0.4344,0.32793,0.89093,2.08953,1.44495,0.000255026,0.000255026,0.000255026
2,51.0287,0.93426,1.85046,1.33815,0.52463,0.44153,0.47887,0.35871,0.94449,1.8767,1.4923,0.000506296,0.000506296,0.000506296
3,67.6596,0.95118,1.65679,1.34538,0.47721,0.44553,0.43711,0.30259,1.02887,1.91341,1.58213,0.000752492,0.000752492,0.000752492
4,84.0741,0.94984,1.54298,1.34408,0.70111,0.49333,0.59864,0.43364,0.9402,1.628,1.45679,0.000746161,0.000746161,0.000746161
5,100.306,0.92412,1.39844,1.31823,0.60555,0.60795,0.63782,0.49353,0.92174,1.42326,1.49742,0.000738548,0.000738548,0.000738548
6,119.573,0.90061,1.29337,1.29779,0.48092,0.62246,0.61107,0.45861,0.87095,1.49521,1.40344,0.000730935,0.000730935,0.000730935
7,140.202,0.88543,1.26195,1.30332,0.53788,0.62893,0.60758,0.45924,0.9058,1.46287,1.46033,0.000723321,0.000723321,0.000723321
8,160.414,0.87926,1.20626,1.29437,0.70361,0.69584,0.71291,0.54527,0.85536,1.20019,1.3852,0.000715708,0.000715708,0.000715708
9,180.643,0.8681,1.12945,1.28677,0.68629,0.54892,0.66325,0.50217,0.85527,1.28763,1.38967,0.000708095,0.000708095,0.000708095
10,201.082,0.84902,1.06602,1.26676,0.64597,0.53791,0.64205,0.48488,0.88051,1.34417,1.43533,0.000700482,0.000700482,0.000700482
11,221.335,0.84609,1.07053,1.27112,0.56673,0.65532,0.66409,0.50715,0.81783,1.30144,1.33853,0.000692869,0.000692869,0.000692869
12,240.073,0.83265,0.99326,1.2503,0.60665,0.57151,0.6313,0.4651,0.85007,1.3346,1.38291,0.000685256,0.000685256,0.000685256
13,258.775,0.81337,0.98074,1.25031,0.64019,0.6084,0.6548,0.49058,0.85806,1.28871,1.37858,0.000677643,0.000677643,0.000677643
14,277.248,0.81218,0.97258,1.24344,0.66404,0.62979,0.67726,0.5136,0.84354,1.2568,1.3594,0.00067003,0.00067003,0.00067003
15,295.659,0.81067,0.94264,1.241,0.63758,0.6568,0.68124,0.52729,0.84952,1.2808,1.40546,0.000662417,0.000662417,0.000662417
16,313.841,0.80296,0.90603,1.22987,0.67395,0.63493,0.69173,0.53299,0.77529,1.15865,1.31328,0.000654804,0.000654804,0.000654804
17,334.12,0.79694,0.88717,1.22831,0.71092,0.68783,0.72731,0.56377,0.75669,1.10305,1.32033,0.00064719,0.00064719,0.00064719
18,354.629,0.78985,0.85269,1.2239,0.67463,0.58696,0.65695,0.5009,0.84206,1.40708,1.42021,0.000639577,0.000639577,0.000639577
19,374.954,0.78405,0.85715,1.21495,0.65128,0.69292,0.71154,0.54476,0.83535,1.10454,1.38428,0.000631964,0.000631964,0.000631964
20,394.958,0.77021,0.83964,1.20774,0.69143,0.67962,0.71445,0.53686,0.81382,1.04337,1.34599,0.000624351,0.000624351,0.000624351
21,415.102,0.77848,0.83193,1.20984,0.63572,0.66309,0.70118,0.53563,0.76234,1.09623,1.31627,0.000616738,0.000616738,0.000616738
22,435.845,0.76426,0.8031,1.19588,0.68174,0.68494,0.71078,0.55682,0.80904,1.07531,1.38043,0.000609125,0.000609125,0.000609125
23,456.311,0.75963,0.78689,1.19857,0.67778,0.64461,0.68185,0.5316,0.75739,1.06172,1.33928,0.000601512,0.000601512,0.000601512
24,476.393,0.76451,0.77987,1.20115,0.80784,0.60429,0.71593,0.55921,0.76518,1.06523,1.3198,0.000593899,0.000593899,0.000593899
25,496.444,0.73655,0.76331,1.18554,0.69218,0.65873,0.70073,0.52469,0.78896,1.11924,1.36956,0.000586286,0.000586286,0.000586286
26,517.083,0.74853,0.75417,1.1943,0.68907,0.63733,0.70886,0.54151,0.79142,1.11384,1.36017,0.000578672,0.000578672,0.000578672
27,537.276,0.75062,0.73127,1.19164,0.75813,0.64198,0.72452,0.54927,0.78995,1.13276,1.33738,0.000571059,0.000571059,0.000571059
28,557.672,0.73699,0.7329,1.18066,0.74397,0.61941,0.69616,0.53877,0.77235,1.13322,1.33323,0.000563446,0.000563446,0.000563446
29,578.15,0.7311,0.719,1.1784,0.73748,0.63216,0.72454,0.55643,0.7932,1.13746,1.33142,0.000555833,0.000555833,0.000555833
30,598.656,0.72425,0.70997,1.17157,0.71484,0.62495,0.67803,0.52348,0.82049,1.17576,1.39629,0.00054822,0.00054822,0.00054822
31,618.734,0.72916,0.69635,1.17466,0.60547,0.68674,0.68948,0.51702,0.79677,1.14867,1.37143,0.000540607,0.000540607,0.000540607
32,639.015,0.71822,0.68858,1.16584,0.66672,0.69695,0.68846,0.52517,0.79978,1.10156,1.34929,0.000532994,0.000532994,0.000532994
33,659.343,0.71511,0.67817,1.16521,0.62818,0.69582,0.69379,0.53862,0.79844,1.19658,1.38351,0.000525381,0.000525381,0.000525381
34,679.589,0.71539,0.66617,1.15639,0.68355,0.68068,0.7265,0.56753,0.75123,0.98104,1.32436,0.000517768,0.000517768,0.000517768
35,700.099,0.70404,0.66277,1.15772,0.68028,0.72058,0.71954,0.5568,0.77441,1.00106,1.34875,0.000510155,0.000510155,0.000510155
36,720.28,0.70125,0.64163,1.14815,0.74536,0.69159,0.7177,0.54612,0.81056,1.06556,1.37649,0.000502541,0.000502541,0.000502541
37,740.413,0.6928,0.64255,1.14851,0.72893,0.65087,0.71119,0.54081,0.80071,1.1225,1.3717,0.000494928,0.000494928,0.000494928
38,760.036,0.68648,0.62674,1.14679,0.67497,0.66311,0.69901,0.52683,0.82383,1.18274,1.409,0.000487315,0.000487315,0.000487315
39,779.755,0.7038,0.63248,1.15392,0.76309,0.7277,0.74478,0.57628,0.77872,0.94298,1.37562,0.000479702,0.000479702,0.000479702
40,799.833,0.68417,0.63607,1.14686,0.71411,0.63951,0.7092,0.54736,0.80052,1.11114,1.38655,0.000472089,0.000472089,0.000472089
41,819.686,0.6823,0.60599,1.13913,0.68758,0.73877,0.74347,0.59269,0.76493,0.97147,1.32349,0.000464476,0.000464476,0.000464476
42,839.919,0.68295,0.60873,1.14519,0.69312,0.67456,0.72704,0.55951,0.80505,1.04442,1.40316,0.000456863,0.000456863,0.000456863
43,859.494,0.67923,0.59859,1.13399,0.67542,0.70269,0.71813,0.5551,0.79692,1.10799,1.39175,0.00044925,0.00044925,0.00044925
44,879.079,0.67898,0.59638,1.13967,0.71983,0.70496,0.72948,0.56039,0.78875,1.06109,1.40948,0.000441637,0.000441637,0.000441637
45,898.993,0.66516,0.58407,1.12632,0.75194,0.69993,0.75371,0.5793,0.78531,0.98726,1.38229,0.000434024,0.000434024,0.000434024
46,918.725,0.66409,0.57729,1.12548,0.7811,0.64406,0.73367,0.57922,0.77279,1.04528,1.35752,0.000426411,0.000426411,0.000426411
47,938.228,0.67156,0.58187,1.13248,0.77359,0.6504,0.73666,0.56496,0.77959,1.02194,1.36628,0.000418797,0.000418797,0.000418797
48,957.834,0.66662,0.5732,1.12125,0.72297,0.72904,0.75872,0.58227,0.78071,1.01259,1.38298,0.000411184,0.000411184,0.000411184
49,977.621,0.6589,0.57104,1.12022,0.66386,0.63615,0.6819,0.52667,0.77117,1.1183,1.3769,0.000403571,0.000403571,0.000403571
50,997.688,0.65611,0.57768,1.11939,0.70744,0.69114,0.72174,0.56232,0.77151,1.04606,1.36843,0.000395958,0.000395958,0.000395958
51,1017.54,0.65177,0.55478,1.11377,0.69267,0.71179,0.71567,0.5523,0.79878,1.05967,1.37768,0.000388345,0.000388345,0.000388345
52,1037.08,0.65691,0.55502,1.12551,0.62882,0.69266,0.69206,0.52599,0.80077,1.12977,1.40373,0.000380732,0.000380732,0.000380732
53,1056.67,0.65089,0.55217,1.11714,0.73432,0.71217,0.748,0.57578,0.79853,0.96068,1.37749,0.000373119,0.000373119,0.000373119
54,1076.37,0.64588,0.53918,1.11407,0.78722,0.66821,0.72692,0.57023,0.80767,1.01058,1.41926,0.000365506,0.000365506,0.000365506
55,1095.66,0.63168,0.52568,1.1043,0.73966,0.66592,0.72934,0.54947,0.80717,1.06653,1.41565,0.000357893,0.000357893,0.000357893
56,1115.41,0.64343,0.52476,1.11159,0.73983,0.62735,0.70986,0.53707,0.8069,1.08903,1.40675,0.00035028,0.00035028,0.00035028
57,1135.1,0.63021,0.51849,1.10045,0.6513,0.73568,0.72293,0.55878,0.82546,1.01924,1.44552,0.000342666,0.000342666,0.000342666
58,1154.99,0.6337,0.52172,1.10311,0.73281,0.62054,0.68741,0.52447,0.80797,1.16849,1.43106,0.000335053,0.000335053,0.000335053
59,1175,0.62726,0.51446,1.09896,0.67223,0.65043,0.69306,0.5152,0.85594,1.14392,1.49915,0.00032744,0.00032744,0.00032744
60,1194.72,0.63225,0.51705,1.10372,0.69115,0.7039,0.72328,0.55415,0.80937,1.04462,1.4316,0.000319827,0.000319827,0.000319827
61,1214.33,0.61813,0.50369,1.096,0.72906,0.66306,0.73781,0.56494,0.82316,1.01867,1.47303,0.000312214,0.000312214,0.000312214
62,1233.91,0.61721,0.49757,1.08774,0.69703,0.70182,0.737,0.56567,0.79789,1.06599,1.42271,0.000304601,0.000304601,0.000304601
63,1253.74,0.61627,0.49935,1.09058,0.71741,0.73126,0.74573,0.55952,0.80142,1.00798,1.41845,0.000296988,0.000296988,0.000296988
64,1273.62,0.61701,0.49787,1.09625,0.75327,0.70958,0.75448,0.57843,0.80233,0.98362,1.38932,0.000289375,0.000289375,0.000289375
65,1293.39,0.60742,0.47681,1.08544,0.70093,0.74541,0.76389,0.58384,0.76965,0.92307,1.37704,0.000281762,0.000281762,0.000281762
66,1313.18,0.60023,0.47644,1.0792,0.74953,0.6753,0.74282,0.55602,0.79655,1.07409,1.3994,0.000274148,0.000274148,0.000274148
67,1332.66,0.60291,0.48227,1.08583,0.79609,0.67466,0.75069,0.57496,0.77854,0.96472,1.40608,0.000266535,0.000266535,0.000266535
68,1352.19,0.59299,0.47167,1.08293,0.73443,0.73384,0.76412,0.58166,0.79682,0.93919,1.4377,0.000258922,0.000258922,0.000258922
69,1371.97,0.60616,0.46923,1.08146,0.79314,0.64863,0.75361,0.58312,0.77954,0.94651,1.37651,0.000251309,0.000251309,0.000251309
70,1392.02,0.59582,0.46631,1.07583,0.76628,0.71215,0.75715,0.58762,0.75968,0.97419,1.3711,0.000243696,0.000243696,0.000243696
71,1412.34,0.59978,0.46555,1.08339,0.78564,0.68351,0.74543,0.56777,0.80412,1.03164,1.43315,0.000236083,0.000236083,0.000236083
72,1431.91,0.58869,0.45807,1.07235,0.74775,0.68054,0.72474,0.55821,0.80301,1.01437,1.44115,0.00022847,0.00022847,0.00022847
