epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5795,1.16572,3.58495,1.33256,0.45511,0.65311,0.61405,0.47579,0.96631,1.69054,1.15922,0.000217393,0.000217393,0.000217393
2,26.1026,0.9827,1.96101,1.17733,0.92465,0.87454,0.89915,0.72956,0.77865,0.83746,1.00529,0.000434284,0.000434284,0.000434284
3,31.535,0.92484,1.32087,1.12238,0.98152,0.87856,0.91466,0.73037,0.84788,0.7371,1.00199,0.000645673,0.000645673,0.000645673
4,36.9817,0.9157,1.12007,1.09754,0.95884,0.90465,0.92906,0.75579,0.74914,0.54712,0.93584,0.000642238,0.000642238,0.000642238
5,42.2779,0.88609,1.02651,1.08511,0.97754,0.91556,0.92861,0.77177,0.7749,0.55861,0.94251,0.000633983,0.000633983,0.000633983
6,47.5938,0.87203,0.97819,1.07297,0.97625,0.92462,0.93512,0.77328,0.73169,0.49578,0.92059,0.000625729,0.000625729,0.000625729
7,53.0628,0.84922,0.85712,1.04397,0.96403,0.92753,0.93073,0.76429,0.77377,0.50339,0.94041,0.000617475,0.000617475,0.000617475
8,58.445,0.8292,0.83818,1.05337,0.96299,0.92498,0.93337,0.73996,0.81121,0.51872,0.96192,0.000609221,0.000609221,0.000609221
9,63.2439,0.81985,0.80694,1.05191,0.97586,0.92433,0.94715,0.78721,0.71759,0.45484,0.91837,0.000600967,0.000600967,0.000600967
10,67.6253,0.79655,0.76417,1.02963,0.9752,0.92171,0.93621,0.78176,0.73313,0.46726,0.93011,0.000592713,0.000592713,0.000592713
11,71.9829,0.7851,0.71799,1.02558,0.9698,0.92824,0.94069,0.78405,0.70509,0.43633,0.92452,0.000584459,0.000584459,0.000584459
12,76.2133,0.78515,0.71348,1.04144,0.98239,0.92937,0.9414,0.78592,0.71038,0.44433,0.9295,0.000576205,0.000576205,0.000576205
13,80.467,0.76235,0.6723,1.01255,0.97304,0.93062,0.94003,0.77576,0.73592,0.4465,0.94141,0.00056795,0.00056795,0.00056795
14,84.6938,0.76879,0.66532,1.02215,0.96342,0.93067,0.9439,0.78633,0.71677,0.44494,0.92938,0.000559696,0.000559696,0.000559696
15,88.8694,0.76117,0.63657,1.007,0.96621,0.93374,0.94085,0.78748,0.68146,0.42913,0.91385,0.000551442,0.000551442,0.000551442
16,93.2739,0.76063,0.62901,1.0221,0.97581,0.92612,0.95452,0.8009,0.70098,0.40744,0.91545,0.000543188,0.000543188,0.000543188
17,97.5061,0.75093,0.60971,1.00914,0.97375,0.93184,0.9412,0.79731,0.68081,0.39861,0.91183,0.000534934,0.000534934,0.000534934
18,101.784,0.7529,0.59762,1.01921,0.9657,0.93217,0.9431,0.78955,0.7044,0.40244,0.92367,0.00052668,0.00052668,0.00052668
19,106.165,0.74032,0.59962,0.99599,0.97452,0.93205,0.9391,0.79875,0.67616,0.39748,0.89917,0.000518426,0.000518426,0.000518426
20,110.495,0.72949,0.56131,0.99816,0.97381,0.93086,0.94518,0.80473,0.6837,0.39741,0.90826,0.000510172,0.000510172,0.000510172
21,114.841,0.73277,0.57191,1.00674,0.97079,0.9295,0.94422,0.80555,0.68386,0.39862,0.9031,0.000501917,0.000501917,0.000501917
22,119.152,0.73353,0.54757,1.00262,0.97422,0.9303,0.94834,0.79414,0.6968,0.40994,0.90007,0.000493663,0.000493663,0.000493663
23,123.511,0.73863,0.57809,1.00949,0.97538,0.9306,0.94889,0.81042,0.67506,0.39842,0.90551,0.000485409,0.000485409,0.000485409
24,127.927,0.72516,0.5413,0.99512,0.98722,0.92738,0.95358,0.80009,0.69012,0.38671,0.90153,0.000477155,0.000477155,0.000477155
25,132.128,0.72127,0.54636,0.99577,0.97299,0.92919,0.9488,0.81031,0.6823,0.39183,0.90753,0.000468901,0.000468901,0.000468901
26,136.371,0.71317,0.54486,0.98769,0.97682,0.93185,0.94844,0.80609,0.68937,0.39808,0.90417,0.000460647,0.000460647,0.000460647
27,140.688,0.73787,0.53759,1.00819,0.97988,0.92884,0.95018,0.80181,0.69226,0.40421,0.90477,0.000452393,0.000452393,0.000452393
28,144.995,0.71172,0.53519,0.98459,0.97174,0.92955,0.94501,0.79853,0.67441,0.3955,0.89006,0.000444139,0.000444139,0.000444139
29,149.581,0.68737,0.50712,0.98913,0.98033,0.92908,0.94867,0.81542,0.67223,0.38408,0.90341,0.000435884,0.000435884,0.000435884
30,154.712,0.70473,0.51451,0.9933,0.99151,0.92737,0.94951,0.81633,0.68879,0.3998,0.9047,0.00042763,0.00042763,0.00042763
31,159.842,0.69136,0.50938,0.98133,0.97404,0.93143,0.95154,0.80857,0.68977,0.37562,0.91618,0.000419376,0.000419376,0.000419376
32,165.134,0.69512,0.50482,0.98788,0.97371,0.93273,0.95667,0.81104,0.65751,0.37997,0.89699,0.000411122,0.000411122,0.000411122
33,170.326,0.69457,0.50366,0.98887,0.97618,0.92884,0.94645,0.80498,0.66684,0.38856,0.89832,0.000402868,0.000402868,0.000402868
34,175.799,0.68648,0.49927,0.98733,0.96921,0.93027,0.95346,0.81695,0.63805,0.39743,0.88846,0.000394614,0.000394614,0.000394614
35,180.878,0.68299,0.4801,0.98004,0.98468,0.92584,0.95689,0.82244,0.66411,0.37189,0.89323,0.00038636,0.00038636,0.00038636
36,186.223,0.68437,0.48561,0.98208,0.97389,0.93124,0.94995,0.80809,0.68612,0.37687,0.8994,0.000378106,0.000378106,0.000378106
37,191.59,0.68238,0.48392,0.97644,0.9753,0.93185,0.9519,0.81666,0.67127,0.37522,0.88531,0.000369851,0.000369851,0.000369851
38,196.855,0.68264,0.48185,0.98737,0.97742,0.93185,0.95143,0.8224,0.6535,0.37594,0.88329,0.000361597,0.000361597,0.000361597
39,202.166,0.65861,0.47031,0.96575,0.97904,0.93015,0.95337,0.81451,0.66503,0.37756,0.89121,0.000353343,0.000353343,0.000353343
40,207.525,0.68067,0.48264,0.97886,0.99081,0.93247,0.94793,0.81317,0.66091,0.36397,0.89606,0.000345089,0.000345089,0.000345089
41,212.712,0.658,0.45899,0.96127,0.97651,0.93224,0.95033,0.82084,0.65256,0.36666,0.88537,0.000336835,0.000336835,0.000336835
42,217.945,0.64514,0.44986,0.95646,0.97635,0.93054,0.95312,0.82603,0.64887,0.36564,0.87786,0.000328581,0.000328581,0.000328581
43,223.134,0.6761,0.48908,0.98247,0.97597,0.933,0.95054,0.81595,0.65159,0.35828,0.88346,0.000320327,0.000320327,0.000320327
44,228.342,0.64987,0.44502,0.9686,0.98991,0.92795,0.95363,0.81919,0.66287,0.3534,0.88468,0.000312073,0.000312073,0.000312073
45,233.692,0.65213,0.45426,0.96894,0.97998,0.93011,0.95661,0.82804,0.6496,0.36728,0.88875,0.000303818,0.000303818,0.000303818
46,238.919,0.65292,0.4502,0.9622,0.97531,0.93409,0.95429,0.82214,0.66432,0.36272,0.88958,0.000295564,0.000295564,0.000295564
47,244.199,0.65042,0.45866,0.97149,0.97357,0.93223,0.95578,0.81708,0.6643,0.35422,0.88246,0.00028731,0.00028731,0.00028731
48,249.399,0.64185,0.44855,0.96467,0.97666,0.92966,0.94976,0.82448,0.65152,0.35448,0.88076,0.000279056,0.000279056,0.000279056
49,254.728,0.63049,0.44644,0.9595,0.99077,0.92765,0.95807,0.83009,0.64036,0.35086,0.88743,0.000270802,0.000270802,0.000270802
50,260.058,0.61744,0.43148,0.94944,0.97947,0.92884,0.95523,0.82448,0.64754,0.35286,0.87667,0.000262548,0.000262548,0.000262548
51,265.179,0.63923,0.44586,0.96595,0.97869,0.92937,0.95518,0.82801,0.63971,0.35214,0.88035,0.000254294,0.000254294,0.000254294
52,269.478,0.61014,0.41991,0.94763,0.98725,0.92869,0.95569,0.82889,0.6501,0.3401,0.88316,0.00024604,0.00024604,0.00024604
53,274.054,0.62929,0.41976,0.9569,0.97685,0.93199,0.95688,0.83261,0.63498,0.34385,0.88662,0.000237785,0.000237785,0.000237785
54,278.989,0.63057,0.43156,0.95736,0.97875,0.93201,0.95481,0.83646,0.63101,0.33619,0.87345,0.000229531,0.000229531,0.000229531
55,283.767,0.626,0.41416,0.94146,0.97922,0.93165,0.95658,0.83358,0.62455,0.33869,0.87417,0.000221277,0.000221277,0.000221277
56,288.504,0.61659,0.41098,0.95734,0.97721,0.93206,0.95512,0.83045,0.63003,0.34671,0.87569,0.000213023,0.000213023,0.000213023
57,293.245,0.62157,0.41922,0.9559,0.97564,0.93189,0.95599,0.83088,0.63131,0.34479,0.87866,0.000204769,0.000204769,0.000204769
58,297.943,0.6218,0.41202,0.95101,0.9782,0.93098,0.95952,0.83462,0.63559,0.34516,0.87991,0.000196515,0.000196515,0.000196515
59,302.64,0.61968,0.41699,0.94894,0.97652,0.93071,0.9635,0.83823,0.63241,0.34443,0.87617,0.000188261,0.000188261,0.000188261
60,307.556,0.63171,0.4102,0.95142,0.9788,0.93035,0.9561,0.83787,0.62353,0.33687,0.8716,0.000180007,0.000180007,0.000180007
61,312.262,0.61036,0.41182,0.95622,0.97801,0.93061,0.95561,0.83144,0.62828,0.33528,0.87477,0.000171752,0.000171752,0.000171752
