epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4065,0.90224,2.13114,1.25679,0.00549,1,0.78675,0.48628,1.16249,2.77559,1.69113,0.00052,0.00052,0.00052
2,19.6502,0.94328,1.31547,1.29878,0.83662,0.74405,0.85033,0.55978,0.97011,2.00749,1.86226,0.00104951,0.00104951,0.00104951
3,22.64,0.9859,1.20423,1.2923,0.57897,0.71695,0.70313,0.45049,1.14399,2.07699,1.72039,0.00156832,0.00156832,0.00156832
4,25.6183,0.98429,1.12721,1.26451,0.76676,0.7265,0.77123,0.52987,1.06709,1.83001,1.6182,0.0019406,0.0019406,0.0019406
5,28.5001,0.97149,1.00849,1.24591,0.6775,0.65812,0.68663,0.34787,1.58423,2.43879,2.24859,0.0019208,0.0019208,0.0019208
6,31.397,0.96302,1.0034,1.24886,0.68844,0.75545,0.70475,0.37607,1.24001,1.89007,1.97449,0.001901,0.001901,0.001901
7,34.3284,0.92934,0.92918,1.26032,0.70661,0.74359,0.79213,0.58333,0.8824,1.30822,1.39107,0.0018812,0.0018812,0.0018812
8,36.9827,0.94009,0.9377,1.25684,0.86828,0.79487,0.86813,0.57725,1.04845,1.13136,1.65039,0.0018614,0.0018614,0.0018614
9,39.5089,0.93542,0.86398,1.24892,0.84061,0.82906,0.87003,0.65769,0.80132,1.14678,1.26663,0.0018416,0.0018416,0.0018416
10,42.1329,0.94231,0.88153,1.22791,0.81069,0.86325,0.85933,0.5914,1.08878,1.22502,1.74272,0.0018218,0.0018218,0.0018218
11,45.099,0.89783,0.82241,1.20922,0.85631,0.76405,0.87101,0.63601,0.79376,1.30179,1.23401,0.001802,0.001802,0.001802
12,48.3801,0.9296,0.8039,1.23739,0.89071,0.89744,0.94139,0.71638,0.78606,0.91466,1.20684,0.0017822,0.0017822,0.0017822
13,51.3519,0.8817,0.75211,1.21695,0.86728,0.96581,0.95354,0.72918,0.78264,0.65722,1.18092,0.0017624,0.0017624,0.0017624
14,53.8985,0.86477,0.7363,1.1776,0.90012,0.84615,0.94329,0.72616,0.82861,0.66444,1.34638,0.0017426,0.0017426,0.0017426
15,56.4829,0.87176,0.7388,1.2008,0.91332,0.90065,0.95822,0.7385,0.79213,0.72695,1.2446,0.0017228,0.0017228,0.0017228
16,59.1121,0.86214,0.72223,1.19545,0.90728,0.90598,0.93511,0.7206,0.80668,0.7206,1.34603,0.001703,0.001703,0.001703
17,61.6246,0.8537,0.72013,1.18517,0.87575,0.84343,0.91101,0.65649,0.87274,0.79484,1.34892,0.0016832,0.0016832,0.0016832
18,64.2025,0.88073,0.70101,1.18396,0.89393,0.93646,0.95705,0.73909,0.80115,0.57548,1.2988,0.0016634,0.0016634,0.0016634
19,66.6591,0.86985,0.69568,1.19631,0.788,0.94872,0.92986,0.70866,0.90337,0.97286,1.34669,0.0016436,0.0016436,0.0016436
20,69.1772,0.81887,0.63993,1.16178,0.8226,0.79487,0.86917,0.6421,0.82049,0.95854,1.26536,0.0016238,0.0016238,0.0016238
21,71.6799,0.81969,0.64032,1.17017,0.85252,0.93871,0.92206,0.68951,0.77509,0.58834,1.22609,0.001604,0.001604,0.001604
22,74.2269,0.81364,0.64431,1.16744,0.91104,0.95726,0.95817,0.73142,0.79042,0.54454,1.23395,0.0015842,0.0015842,0.0015842
23,76.6936,0.79662,0.61919,1.15277,0.88824,0.94872,0.95992,0.75349,0.73717,0.51009,1.15671,0.0015644,0.0015644,0.0015644
24,79.2392,0.82296,0.64901,1.17823,0.8376,0.92576,0.93927,0.71383,0.79971,0.64863,1.23193,0.0015446,0.0015446,0.0015446
25,81.8606,0.80719,0.63449,1.16073,0.94165,0.96556,0.96954,0.76479,0.75886,0.48558,1.20181,0.0015248,0.0015248,0.0015248
26,84.4152,0.79657,0.63868,1.16701,0.91287,0.89546,0.93683,0.75371,0.70952,0.53781,1.12841,0.001505,0.001505,0.001505
27,86.9095,0.77912,0.58937,1.151,0.9024,0.86927,0.92973,0.7209,0.79513,0.63392,1.26346,0.0014852,0.0014852,0.0014852
28,89.4074,0.82164,0.61418,1.15035,0.90517,0.97897,0.95802,0.75764,0.75277,0.4627,1.22922,0.0014654,0.0014654,0.0014654
29,91.9679,0.80301,0.60921,1.14728,0.89176,0.93162,0.95152,0.74676,0.80929,0.52567,1.2094,0.0014456,0.0014456,0.0014456
30,94.527,0.78094,0.5745,1.14971,0.86663,0.94872,0.95236,0.76662,0.69657,0.45917,1.17133,0.0014258,0.0014258,0.0014258
31,97.0922,0.7836,0.59889,1.14615,0.89593,0.87179,0.93286,0.7378,0.72159,0.51546,1.14095,0.001406,0.001406,0.001406
32,99.604,0.76413,0.57815,1.1398,0.89533,0.98291,0.97021,0.76473,0.73169,0.4552,1.17218,0.0013862,0.0013862,0.0013862
33,102.241,0.77194,0.58037,1.12827,0.9073,0.91453,0.96994,0.776,0.69062,0.52605,1.12446,0.0013664,0.0013664,0.0013664
34,104.789,0.7772,0.58201,1.1282,0.93263,0.93162,0.9657,0.75831,0.7647,0.50703,1.16045,0.0013466,0.0013466,0.0013466
35,107.366,0.77909,0.58056,1.13085,0.87613,0.94872,0.95953,0.75875,0.74128,0.47697,1.16553,0.0013268,0.0013268,0.0013268
36,109.891,0.75017,0.55126,1.1207,0.88266,0.94872,0.94973,0.75415,0.72947,0.45729,1.15777,0.001307,0.001307,0.001307
37,112.353,0.74143,0.53911,1.12204,0.85872,0.94872,0.93101,0.72267,0.75853,0.62714,1.24027,0.0012872,0.0012872,0.0012872
